Gene,ADS,DAGS,CDAS,CAIS
ald,0.064,0.0257,0.0896,0.0655
echA1,0.0647,0.0207,0.0761,0.0654
metE,0.0995,0.0523,0.1178,0.1006
bioB,0.0469,0.03,0.0417,0.0466
plcA,0.0947,0.0128,0.2356,0.1032
ponA1,0.2192,0.1012,0.1939,0.2176
mmsB,0.0685,0.0169,0.1104,0.071
upp,0.0955,0.0317,0.0626,0.0935
mkl,0.1171,0.0511,0.0834,0.115
trxC,0.1151,0.0642,0.0417,0.1106
cysW,0.0776,0.0437,0.027,0.0745
mmpL2,0.0787,0.0175,0.3742,0.0966
ppsA,0.0762,0.0065,0.4577,0.0993
vapC11,0.0697,0.0224,0.0552,0.0688
qcrB,0.0522,0.0182,0.1043,0.0553
htrA,0.0896,0.0268,0.1804,0.0951
eccC2,0.0709,0.0034,0.7497,0.112
aspB,0.1095,0.029,0.1178,0.1099
ilvB1,0.0509,0.0169,0.1104,0.0545
mgtC,0.0469,0.0214,0.0896,0.0495
rfe,0.0299,0.0107,0.0761,0.0327
ppsD,0.1074,0.0136,0.389,0.1244
sucD,0.0564,0.0357,0.0552,0.0563
mgtA,0.0941,0.0326,0.0834,0.0934
ndhA,0.1532,0.0457,0.2012,0.156
hflX,0.0299,0.0028,0.1104,0.0348
acpS,0.3881,0.4754,0.0,0.3646
fadE8,0.1079,0.0649,0.173,0.1118
thrB,0.0299,0.0197,0.027,0.0297
omt,0.1221,0.0775,0.0687,0.1188
PE8,0.0666,0.0418,0.0834,0.0676
nudC,0.0341,0.0086,0.0896,0.0374
cyp138,0.0584,0.0114,0.1521,0.064
mazF4,0.0,0.0557,0.0074,0.0005
iniC,0.038,0.0066,0.146,0.0445
sirA,0.1001,0.0345,0.1104,0.1007
alkA,0.039,0.0049,0.173,0.0471
apa,0.0858,0.0369,0.1043,0.0869
gltB,0.0779,0.0114,0.3117,0.092
pks13,0.0813,0.0102,0.3951,0.1003
zmp1,0.0621,0.0184,0.2491,0.0734
fadD19,0.0746,0.0257,0.0761,0.0747
hisA,0.0299,0.0157,0.0344,0.0302
thiX,0.0697,0.0357,0.0552,0.0688
trpG,0.0758,0.0234,0.0834,0.0762
lppB,0.0666,0.0234,0.0834,0.0676
PE36,0.0697,0.0224,0.0552,0.0688
vapB9,0.0697,0.0757,0.0135,0.0663
rplL,0.1095,0.0757,0.0135,0.1036
rpfD,0.0299,0.009,0.0552,0.0314
PE20,0.2388,0.2655,0.0074,0.2248
fadE6,0.0433,0.0073,0.2074,0.0532
vapC28,0.0299,0.0197,0.027,0.0297
mce4F,0.0516,0.0121,0.146,0.0573
trpE,0.0776,0.0357,0.0969,0.0787
rplA,0.197,0.0976,0.0626,0.1888
secD,0.1674,0.0557,0.1521,0.1664
ppiB,0.1194,0.0707,0.0479,0.115
arsC,0.0632,0.0257,0.2282,0.0732
aprA,0.0697,0.0757,0.0135,0.0663
phoY1,0.0841,0.0284,0.0687,0.0831
vapC19,0.0299,0.0197,0.027,0.0297
ahpC,0.0981,0.0471,0.0417,0.0946
deoD,0.0962,0.0623,0.0552,0.0937
glpK,0.1343,0.1006,0.0761,0.1307
cyp135B1,0.1134,0.0617,0.1313,0.1144
alaS,0.0564,0.009,0.1178,0.0601
pks7,0.062,0.0019,0.7288,0.1024
vapB15,0.0554,0.03,0.0417,0.0545
lipU,0.0697,0.01,0.1387,0.0738
adk,0.1294,0.1156,0.0344,0.1236
aceE,0.0731,0.0267,0.1939,0.0804
fprA,0.0833,0.0399,0.1252,0.0858
PE23,0.0697,0.0357,0.0969,0.0713
ephB,0.1221,0.0393,0.146,0.1235
argH,0.0666,0.0234,0.0834,0.0676
fadD5,0.0856,0.0257,0.2012,0.0926
cobM,0.0482,0.0142,0.0834,0.0503
thyA,0.0856,0.0197,0.0969,0.0862
espD,0.0516,0.0175,0.0687,0.0526
lipY,0.0544,0.0098,0.1104,0.0578
vapB1,0.0896,0.0857,0.0209,0.0854
ribG,0.1692,0.129,0.0552,0.1623
dipZ,0.0657,0.0221,0.1656,0.0717
inhA,0.0299,0.0197,0.027,0.0297
ltp1,0.0384,0.0128,0.0896,0.0415
blaR,0.1891,0.1556,0.0344,0.1797
gcvT,0.0544,0.0134,0.1104,0.0578
rip,0.1075,0.0857,0.0626,0.1048
gpgP,0.0418,0.0197,0.0626,0.043
echA20,0.0358,0.0137,0.0626,0.0374
lppW,0.0497,0.0117,0.0969,0.0525
nrdF2,0.0299,0.0357,0.0135,0.0289
treZ,0.0664,0.0189,0.2074,0.0749
fadD36,0.1764,0.1211,0.0687,0.1698
lipL,0.0776,0.0357,0.0969,0.0787
idsB,0.0787,0.0393,0.146,0.0828
rplE,0.209,0.1636,0.027,0.1979
dnaQ,0.186,0.0557,0.0834,0.1797
murB,0.0821,0.0482,0.0479,0.08
pafB,0.0574,0.0234,0.0834,0.059
oppA,0.0407,0.0066,0.146,0.0471
pgsA3,0.0378,0.0117,0.0969,0.0414
eccCa1,0.074,0.014,0.3117,0.0884
metZ,0.0564,0.0224,0.0552,0.0563
glpX,0.0299,0.0128,0.0417,0.0306
plsB2,0.0393,0.0115,0.1252,0.0445
nuoD,0.097,0.0257,0.1043,0.0974
mce2F,0.0394,0.0101,0.1656,0.047
vapB35,0.0896,0.0557,0.0344,0.0862
dnaJ1,0.0512,0.0128,0.0896,0.0535
sapM,0.0547,0.0082,0.1595,0.061
gltD,0.0547,0.0157,0.0761,0.056
echA5,0.0365,0.0157,0.0552,0.0376
regX3,0.0299,0.0128,0.0417,0.0306
rfbD,0.0299,0.0197,0.027,0.0297
trpC,0.0213,0.0128,0.0417,0.0225
pks9,0.1063,0.0317,0.3399,0.1204
lepB,0.0469,0.03,0.0417,0.0466
xylB,0.0662,0.0218,0.1521,0.0714
lipG,0.0299,0.0049,0.0834,0.0331
dapB,0.0299,0.0107,0.0479,0.031
glgP,0.065,0.0098,0.2282,0.0749
pknL,0.0634,0.0182,0.1043,0.0658
ureB,0.0497,0.0357,0.0344,0.0488
embR,0.2156,0.1489,0.0552,0.2058
cmr,0.0995,0.0557,0.0344,0.0955
trmD,0.0597,0.0407,0.0479,0.059
thiE,0.0469,0.03,0.0417,0.0466
lipJ,0.0896,0.0257,0.1043,0.0904
pncA,0.1216,0.0279,0.2773,0.131
vapB36,0.0597,0.0557,0.0209,0.0573
nanT,0.0461,0.0066,0.146,0.0521
dinF,0.0554,0.0128,0.1387,0.0604
vapB2,0.3134,0.3105,0.0209,0.2957
sigL,0.0896,0.0857,0.0209,0.0854
esxH,0.0179,0.0197,0.0294,0.0186
cdh,0.0431,0.0224,0.0552,0.0438
bkdA,0.0574,0.0234,0.0834,0.059
pepB,0.1674,0.1287,0.1521,0.1664
parD2,0.0896,0.1156,0.0061,0.0846
serB2,0.0554,0.0128,0.0896,0.0574
bglS,0.0682,0.0214,0.2847,0.0813
eis,0.0448,0.0157,0.0761,0.0467
PE26,0.0868,0.0175,0.146,0.0903
nuoG,0.0409,0.0046,0.1804,0.0493
embC,0.084,0.0145,0.2147,0.0919
rpsE,0.0398,0.0257,0.0344,0.0395
tpi,0.0299,0.0107,0.0479,0.031
acn,0.0355,0.0071,0.1387,0.0417
fdhD,0.0697,0.0557,0.0344,0.0675
wbbL2,0.0816,0.0357,0.0969,0.0825
pdc,0.0753,0.0357,0.1387,0.0791
moaE1,0.2388,0.2355,0.0209,0.2256
mmpL6,0.0746,0.0257,0.0479,0.0729
gpm2,0.0299,0.0107,0.0479,0.031
nuoL,0.0537,0.0117,0.0969,0.0563
ppgK,0.0927,0.0273,0.1252,0.0946
mpa,0.0299,0.0057,0.0761,0.0327
nadC,0.0299,0.0157,0.0344,0.0302
vapC42,0.0299,0.0257,0.0209,0.0294
guaA,0.2303,0.1242,0.0896,0.2217
prfB,0.0426,0.0171,0.0896,0.0454
amiB2,0.0448,0.0257,0.0761,0.0467
rpmB1,0.0829,0.0357,0.0552,0.0812
kmtR,0.1866,0.1681,0.0479,0.1782
dnaJ2,0.1373,0.0797,0.0626,0.1327
rpmF,0.0299,0.1156,0.0,0.0282
fadD4,0.0725,0.0214,0.2356,0.0824
uspB,0.0981,0.0471,0.0417,0.0946
dxs1,0.0299,0.0128,0.0417,0.0306
phoP,0.0597,0.0857,0.0074,0.0565
mce3A,0.0597,0.0107,0.1043,0.0624
purM,0.0299,0.0128,0.0417,0.0306
nat,0.1113,0.072,0.0687,0.1087
pks1,0.0611,0.0079,0.5755,0.0923
rshA,0.0299,0.0128,0.0417,0.0306
ugpC,0.2644,0.1242,0.0896,0.2537
fadE34,0.0576,0.0086,0.1865,0.0654
alr,0.0706,0.0257,0.146,0.0751
mmaA4,0.0478,0.0197,0.0626,0.0487
fadA2,0.0355,0.0071,0.1387,0.0417
egtD,0.0564,0.009,0.1178,0.0601
fadE9,0.0758,0.0418,0.0834,0.0762
recC,0.0482,0.0034,0.2638,0.0612
bkdB,0.0253,0.0049,0.0834,0.0288
plsB1,0.0413,0.0049,0.173,0.0493
hemC,0.0597,0.0257,0.0479,0.059
rpsC,0.0896,0.0317,0.0626,0.0879
echA8,0.1095,0.0757,0.0344,0.1049
serA1,0.0469,0.0128,0.0896,0.0495
rseA,0.0299,0.0197,0.027,0.0297
lipX,0.0299,0.0357,0.0135,0.0289
adhA,0.0931,0.0451,0.1104,0.0941
suhB,0.0336,0.007,0.1043,0.0379
atpA,0.081,0.0557,0.0896,0.0815
nuoN,0.055,0.0147,0.1252,0.0592
rpoZ,0.0299,0.0557,0.0074,0.0286
prpD,0.0497,0.009,0.1178,0.0538
irtB,0.0458,0.0117,0.0969,0.0489
mazF2,0.1891,0.1556,0.0135,0.1784
ltp2,0.0448,0.0257,0.0479,0.045
rplK,0.0299,0.0557,0.0074,0.0286
thiS,0.0896,0.0707,0.0209,0.0854
PE16,0.0299,0.0017,0.1313,0.036
rplM,0.0896,0.0357,0.0344,0.0862
bioD,0.2289,0.1956,0.0552,0.2183
sugC,0.0522,0.0257,0.0479,0.0519
cysQ,0.0697,0.0757,0.0135,0.0663
fabG4,0.0611,0.0128,0.1387,0.0658
lpqX,0.0697,0.0307,0.0761,0.0701
tcrX,0.0697,0.0357,0.0552,0.0688
purK,0.0232,0.009,0.0552,0.0251
kdtB,0.0299,0.1156,0.0,0.0282
murC,0.0935,0.0277,0.0969,0.0937
dapD,0.0554,0.03,0.0417,0.0545
guaB2,0.095,0.072,0.0687,0.0934
moaB1,0.0299,0.0128,0.0417,0.0306
pth,0.0776,0.0377,0.0626,0.0767
mutT4,0.0458,0.0157,0.0969,0.0489
vapC27,0.4104,0.2056,0.0479,0.3882
udgA,0.0497,0.0157,0.1178,0.0538
pepR,0.0864,0.0147,0.1252,0.0887
helZ,0.0624,0.0039,0.2982,0.0767
lipM,0.1254,0.0637,0.0969,0.1236
nth,0.0299,0.009,0.0552,0.0314
mmpS3,0.0547,0.0257,0.0761,0.056
cmk,0.0358,0.0137,0.0626,0.0374
PE25,0.0418,0.0317,0.027,0.0409
dcd,0.0448,0.0407,0.0209,0.0433
lysA,0.0299,0.0066,0.0687,0.0322
rpsO,0.0299,0.0357,0.0135,0.0289
PE12,0.0697,0.0224,0.0552,0.0688
mbtD,0.0843,0.0134,0.2294,0.093
glnQ,0.1071,0.0592,0.1104,0.1073
yrbE3A,0.0537,0.0197,0.0969,0.0563
pknD,0.1049,0.0351,0.2356,0.1128
ephF,0.0474,0.0098,0.1104,0.0512
hrcA,0.0564,0.0157,0.1178,0.0601
pafA,0.0537,0.0197,0.0626,0.0542
narG,0.0856,0.0297,0.2012,0.0926
rpmB2,0.0384,0.03,0.0417,0.0386
eccB1,0.1084,0.0115,0.2564,0.1173
fhaB,0.0373,0.0257,0.0479,0.0379
era,0.0431,0.0224,0.0552,0.0438
tpx,0.1443,0.1006,0.0761,0.1401
nadA,0.0299,0.0057,0.0761,0.0327
mmpL8,0.0393,0.001,0.389,0.0605
vapC39,0.0448,0.0257,0.0479,0.045
TB31.7,0.0821,0.0294,0.1043,0.0834
tyrA,0.0825,0.031,0.1104,0.0842
purA,0.0407,0.0175,0.0687,0.0424
mprB,0.1015,0.0637,0.0969,0.1012
murE,0.0428,0.0061,0.1521,0.0494
guaB1,0.0324,0.0035,0.1521,0.0396
msrB,0.0373,0.0257,0.0479,0.0379
kstR,0.0299,0.0197,0.027,0.0297
cadI,0.0672,0.0257,0.0479,0.066
purC,0.0353,0.0121,0.0687,0.0373
lppK,0.0537,0.0197,0.0626,0.0542
cobQ2,0.0418,0.0197,0.0626,0.043
fadE28,0.0299,0.009,0.0552,0.0314
rsbW,0.0299,0.0557,0.0074,0.0286
PE13,0.0299,0.0157,0.0344,0.0302
mbtB,0.1151,0.0248,0.2368,0.1224
snzP,0.0537,0.0197,0.0626,0.0542
cysS1,0.199,0.0956,0.0761,0.1915
pknB,0.1703,0.0398,0.2282,0.1737
fadD29,0.0874,0.0171,0.1865,0.0934
oppD,0.1401,0.0649,0.0834,0.1366
caeA,0.0682,0.0214,0.0896,0.0695
esxB,0.0299,0.0557,0.0061,0.0285
rsfB,0.0373,0.0257,0.0479,0.0379
fadD1,0.0829,0.0268,0.1804,0.0888
espR,0.0299,0.0197,0.027,0.0297
folP1,0.0448,0.0157,0.0761,0.0467
lppN,0.0497,0.0157,0.0761,0.0513
icd2,0.0652,0.0046,0.1804,0.0721
lipQ,0.0833,0.0273,0.1252,0.0858
infA,0.0657,0.0437,0.027,0.0633
moeX,0.0574,0.0234,0.0834,0.059
fadA6,0.0431,0.0224,0.0552,0.0438
ctpC,0.0418,0.0077,0.1313,0.0472
fadH,0.0713,0.019,0.2429,0.0817
gltS,0.1453,0.0877,0.0969,0.1423
iscS,0.0758,0.0326,0.0834,0.0762
fadB2,0.062,0.0234,0.0834,0.0633
hycQ,0.0858,0.0519,0.1043,0.0869
pgmA,0.0923,0.0448,0.146,0.0955
oxyS,0.062,0.028,0.0834,0.0633
cbs,0.064,0.03,0.0896,0.0655
yrbE2A,0.1045,0.0707,0.0761,0.1028
nirD,0.0384,0.0214,0.0417,0.0386
embB,0.085,0.0188,0.3534,0.1012
mpt63,0.0299,0.0197,0.027,0.0297
ppk1,0.0981,0.0557,0.0896,0.0976
epiA,0.2328,0.1876,0.0626,0.2224
miaA,0.2303,0.1242,0.0896,0.2217
coaA,0.0299,0.0157,0.0552,0.0314
ftsH,0.0506,0.0218,0.1521,0.0567
lpqF,0.061,0.0114,0.1521,0.0665
secA1,0.0597,0.0096,0.173,0.0665
udgB,0.064,0.0471,0.0454,0.0629
mshD,0.0522,0.0107,0.1043,0.0553
lppG,0.0796,0.0457,0.0761,0.0794
mscR,0.0966,0.0169,0.1104,0.0974
folE,0.0299,0.0197,0.027,0.0297
gap,0.0448,0.0257,0.0479,0.045
mutY,0.0858,0.0369,0.1043,0.0869
plsC,0.0975,0.0517,0.0969,0.0974
whiB1,0.0299,0.1156,0.0,0.0282
citA,0.0398,0.009,0.1178,0.0445
accD1,0.0497,0.0257,0.0761,0.0513
eccA5,0.0373,0.0107,0.1043,0.0413
fixB,0.0597,0.0317,0.0626,0.0599
sigH,0.0418,0.0317,0.027,0.0409
pks12,0.0875,0.0032,1.0,0.1428
esxG,0.0896,0.0757,0.0135,0.085
kshB,0.0597,0.0182,0.1043,0.0624
katG,0.0552,0.003,0.4515,0.0792
hisC1,0.1079,0.0649,0.0834,0.1064
zur,0.0384,0.0128,0.0896,0.0415
chaA,0.1834,0.1156,0.0417,0.1748
idsA1,0.0336,0.0107,0.1043,0.0379
secF,0.1058,0.0584,0.146,0.1082
mbtK,0.0299,0.0128,0.0417,0.0306
vapB30,0.0,0.0557,0.0074,0.0005
sirR,0.0579,0.0169,0.1104,0.0611
echA7,0.0299,0.0197,0.027,0.0297
mtc28,0.0768,0.0214,0.0896,0.0775
nuoF,0.0554,0.0214,0.0896,0.0574
pmmA,0.0697,0.0257,0.0761,0.0701
cobS,0.1716,0.1531,0.0479,0.1641
moaX,0.0821,0.0332,0.0479,0.08
echA13,0.0299,0.0107,0.0479,0.031
menC,0.0657,0.0317,0.0626,0.0655
pflA,0.0583,0.0128,0.1387,0.0631
dnaA,0.0654,0.0086,0.2847,0.0787
hisC2,0.0597,0.0182,0.1043,0.0624
cyp142,0.0682,0.03,0.0896,0.0695
fadE35,0.0662,0.0166,0.1534,0.0715
narK2,0.1095,0.0597,0.0969,0.1087
glmU,0.1703,0.0768,0.1104,0.1666
ilvN,0.0299,0.0157,0.0344,0.0302
lpqR,0.0336,0.007,0.1043,0.0379
pknE,0.0361,0.0083,0.1252,0.0415
glyA1,0.0469,0.03,0.0417,0.0466
PE32,0.0299,0.0197,0.027,0.0297
tam,0.209,0.1756,0.0344,0.1984
cut2,0.0522,0.0257,0.0479,0.0519
sthA,0.1459,0.0823,0.1178,0.1441
fadE19,0.0497,0.0357,0.0344,0.0488
gabT,0.0725,0.0214,0.0896,0.0735
lipO,0.0393,0.0083,0.1252,0.0445
mqo,0.0531,0.0124,0.1178,0.057
narK3,0.0459,0.0119,0.173,0.0536
lipB,0.0516,0.0284,0.0687,0.0526
lpqV,0.0597,0.0557,0.0209,0.0573
glnA4,0.1004,0.0448,0.146,0.1031
adh,0.0507,0.0107,0.1313,0.0556
mazF7,0.1134,0.1036,0.027,0.1082
cydB,0.0299,0.0128,0.0417,0.0306
fadE2,0.2799,0.1943,0.1043,0.2692
pstA1,0.0497,0.0357,0.0552,0.05
pimB,0.0624,0.0175,0.0687,0.0627
lprB,0.0497,0.0357,0.0344,0.0488
mmpS1,0.0733,0.0284,0.0687,0.073
fum,0.0796,0.0257,0.0761,0.0793
ctpJ,0.1004,0.0502,0.2221,0.1077
lipI,0.0597,0.0257,0.1043,0.0624
ideR,0.0418,0.0437,0.027,0.0409
groEL2,0.0299,0.0257,0.0209,0.0294
ligA,0.0617,0.0277,0.0969,0.0638
mtrB,0.0657,0.0197,0.0626,0.0655
yrbE4A,0.1194,0.0857,0.0209,0.1134
cyp130,0.0746,0.0257,0.1043,0.0764
cyp121,0.0497,0.009,0.1178,0.0538
rmlB,0.0373,0.0107,0.1043,0.0413
mce4D,0.0418,0.0197,0.0626,0.043
espG3,0.0796,0.0257,0.0761,0.0793
gnd2,0.0299,0.0043,0.0896,0.0335
accA3,0.0733,0.0284,0.0687,0.073
modB,0.0299,0.0157,0.0344,0.0302
esxU,0.0896,0.0557,0.0552,0.0875
prcB,0.0299,0.0128,0.0417,0.0306
pssA,0.2687,0.1456,0.0479,0.2552
dppB,0.0647,0.0157,0.0761,0.0654
ispE,0.1194,0.0669,0.1043,0.1184
otsB2,0.0597,0.0171,0.0896,0.0615
asd,0.0497,0.0257,0.0761,0.0513
arfC,0.0398,0.0157,0.0761,0.042
argG,0.0431,0.0224,0.0552,0.0438
purE,0.0299,0.0357,0.0135,0.0289
galE3,0.0431,0.0224,0.0552,0.0438
fadE27,0.0896,0.0418,0.0834,0.0892
dosT,0.092,0.0207,0.1595,0.096
cfp6,0.0537,0.0437,0.027,0.0521
mku,0.0497,0.0357,0.0344,0.0488
vapC41,0.1433,0.0976,0.0626,0.1384
fadB5,0.0584,0.0114,0.1521,0.064
ddlA,0.0554,0.0471,0.0417,0.0546
rpfA,0.0829,0.0224,0.1178,0.085
mce3R,0.2289,0.1823,0.0552,0.2183
folC,0.1397,0.0629,0.1656,0.1412
vapB33,0.1194,0.0857,0.0209,0.1134
helY,0.0492,0.0054,0.2491,0.0613
fabD,0.0981,0.0814,0.0417,0.0947
dacB2,0.0657,0.0197,0.0969,0.0676
iunH,0.0763,0.0357,0.0552,0.075
purF,0.0787,0.0284,0.0687,0.0781
yfiH,0.0418,0.0197,0.0626,0.043
mapB,0.1028,0.0623,0.0552,0.0999
sigE,0.0299,0.0197,0.027,0.0297
esxF,0.0482,0.0234,0.0834,0.0503
cobO,0.081,0.0471,0.0896,0.0815
ogt,0.0624,0.0175,0.0687,0.0627
narU,0.0456,0.0178,0.1252,0.0504
pknI,0.0583,0.0128,0.1387,0.0631
purT,0.0497,0.0071,0.1387,0.0551
atpH,0.081,0.0186,0.1387,0.0845
ksgA,0.0482,0.0142,0.0834,0.0503
lpqI,0.0544,0.0239,0.1104,0.0578
pknF,0.057,0.023,0.0687,0.0577
kasB,0.0299,0.009,0.0552,0.0314
tsnR,0.0537,0.0197,0.0626,0.0542
lpqG,0.0461,0.0175,0.0687,0.0474
leuC,0.0574,0.0234,0.0834,0.059
ugpB,0.0464,0.009,0.1178,0.0507
accD6,0.4104,0.2206,0.0479,0.3883
hycE,0.061,0.0114,0.1534,0.0666
iniA,0.0466,0.0107,0.2147,0.0568
ligB,0.0676,0.021,0.1252,0.0711
PE29,0.0469,0.03,0.0417,0.0466
proB,0.0299,0.0107,0.0479,0.031
hisS,0.0763,0.0424,0.0552,0.075
vapC35,0.0299,0.0257,0.0209,0.0294
aceAa,0.1791,0.0942,0.0896,0.1736
ftsY,0.095,0.0502,0.0687,0.0934
dprE1,0.095,0.0284,0.0687,0.0934
prpC,0.1393,0.0857,0.0761,0.1354
ggtA,0.1263,0.0649,0.1742,0.1292
snoP,0.0299,0.0257,0.0209,0.0294
mce3C,0.0456,0.0083,0.1252,0.0504
espE,0.2198,0.1429,0.146,0.2153
pks8,0.0694,0.002,0.6528,0.1047
mce2R,0.0482,0.0142,0.0834,0.0503
ccsA,0.064,0.0214,0.0896,0.0655
acs,0.0564,0.009,0.1804,0.0639
che1,0.081,0.0471,0.0417,0.0786
rpfC,0.0299,0.0357,0.0135,0.0289
mutT1,0.0528,0.0234,0.0834,0.0546
ltp4,0.0841,0.0393,0.0687,0.0831
mmpS2,0.0597,0.0357,0.0344,0.0581
gabD1,0.0663,0.019,0.1178,0.0694
murA,0.0564,0.0224,0.0552,0.0563
ilvB2,0.0622,0.0107,0.1595,0.0681
ethA,0.0866,0.0206,0.2773,0.0981
rplF,0.0299,0.0357,0.0135,0.0289
vapB17,0.0299,0.0357,0.0135,0.0289
lpqN,0.0697,0.0357,0.0344,0.0675
virS,0.0431,0.009,0.1178,0.0476
echA2,0.0579,0.0169,0.1104,0.0611
vapB31,0.0497,0.0357,0.0344,0.0488
drrB,0.0537,0.0437,0.027,0.0521
tesB2,0.0299,0.0077,0.0626,0.0319
hsaF,0.1294,0.0956,0.0344,0.1236
ffh,0.0624,0.0284,0.0687,0.0628
lprC,0.081,0.0471,0.0417,0.0786
tagA,0.0299,0.0197,0.027,0.0297
fabD2,0.0597,0.0257,0.0761,0.0607
lipD,0.0851,0.0224,0.1804,0.0908
moeA2,0.0666,0.0234,0.0834,0.0676
glnD,0.0734,0.0119,0.2491,0.084
mce2A,0.057,0.0121,0.146,0.0624
vapB10,0.1791,0.0857,0.0344,0.1702
eccC3,0.0868,0.0162,0.2982,0.0996
greA,0.0299,0.0557,0.0172,0.0291
trpS,0.0537,0.0437,0.0282,0.0521
pgk,0.0213,0.0128,0.0417,0.0225
esxD,0.0365,0.0224,0.0564,0.0377
lipP,0.1493,0.1756,0.0074,0.1407
PE22,0.0299,0.0557,0.0074,0.0286
rplD,0.0384,0.0214,0.0417,0.0386
sodA,0.0179,0.0197,0.0282,0.0185
secE2,0.0299,0.0557,0.0074,0.0286
adoK,0.0398,0.0357,0.0356,0.0395
rpsK,0.0299,0.0197,0.0282,0.0298
hsaD,0.0398,0.0257,0.0356,0.0395
rpsN2,0.0179,0.0197,0.0282,0.0185
desA2,0.0299,0.0257,0.0209,0.0294
mbtI,0.0365,0.029,0.0564,0.0377
vapB32,0.0299,0.1156,0.0049,0.0285
rubB,0.0299,0.0557,0.0074,0.0286
gltA2,0.0299,0.0107,0.0491,0.031
vapB26,0.0299,0.0257,0.0209,0.0294
vapB3,0.0597,0.0557,0.0209,0.0573
trpA,0.0597,0.0557,0.0209,0.0573
nrdH,0.0299,0.1156,0.0049,0.0285
hisE,0.1015,0.0677,0.0282,0.097
sigK,0.01,0.0357,0.0135,0.0102
nuoI,0.01,0.0357,0.0135,0.0102
ruvA,0.0299,0.1156,0.0049,0.0285
nuoK,0.0299,0.1156,0.0049,0.0285
esxS,0.01,0.0357,0.0135,0.0102
papA4,0.0554,0.03,0.0417,0.0545
lppP,0.0166,0.009,0.0564,0.019
lpqS,0.0597,0.0557,0.0356,0.0582
lppJ,0.0733,0.0175,0.0712,0.0731
folB,0.0299,0.0257,0.0209,0.0294
gatC,0.0299,0.0357,0.0135,0.0289
lppM,0.0896,0.0557,0.0282,0.0858
rpsG,0.0448,0.0407,0.0209,0.0433
moaC2,0.0299,0.0557,0.0074,0.0286
hadB,0.01,0.0357,0.0135,0.0102
vapC10,0.0497,0.0357,0.0356,0.0488
dop,0.0373,0.0257,0.0491,0.038
clpX,0.0179,0.0197,0.0282,0.0185
pimA,0.0299,0.0107,0.0491,0.031
vapB47,0.0299,0.0557,0.0074,0.0286
dnaK,0.0537,0.0437,0.0282,0.0521
mazE7,0.0299,0.0557,0.0074,0.0286
mazE4,0.0299,0.0357,0.0356,0.0303
pfkA,0.0299,0.0257,0.0209,0.0294
ppa,0.0,0.0557,0.0074,0.0005
ctaE,0.0299,0.1156,0.0,0.0282
cmtR,0.0299,0.0557,0.0074,0.0286
whiB2,0.0299,0.0557,0.0074,0.0286
prfA,0.0299,0.0197,0.0282,0.0298
vapB24,0.2328,0.2116,0.0282,0.2204
mog,0.0299,0.1156,0.0,0.0282
esxL,0.0995,0.0657,0.0356,0.0956
rpmG2,0.0299,0.0557,0.0074,0.0286
acpM,0.0299,0.1156,0.0,0.0282
thrC,0.1731,0.1156,0.0282,0.1643
relF,0.0,0.0557,0.0074,0.0005
esxJ,0.0299,0.0357,0.0135,0.0289
lpqJ,0.0697,0.0757,0.0135,0.0663
whiB7,0.0537,0.0437,0.0282,0.0521
lrpA,0.197,0.0917,0.0282,0.1867
vapC8,0.0299,0.0557,0.0074,0.0286
vapC24,0.0597,0.0557,0.0209,0.0573
mazE6,0.0299,0.0557,0.0074,0.0286
vapB20,0.0299,0.0557,0.0074,0.0286
vapB40,0.2687,0.2655,0.0209,0.2537
PE5,0.0,0.0557,0.0074,0.0005
rpmJ,0.0299,0.1156,0.0,0.0282
mazE1,0.0896,0.1156,0.0074,0.0846
TB22.2,0.0537,0.0437,0.0282,0.0521
TB18.6,0.0,0.0257,0.0209,0.0013
vapB5,0.0299,0.0557,0.0074,0.0286
lppQ,0.0697,0.0757,0.0135,0.0663
vapB27,0.0299,0.0557,0.0074,0.0286
rplT,0.0149,0.0257,0.0209,0.0153
vapB41,0.1493,0.2355,0.0,0.1403
esxQ,0.0418,0.0317,0.0282,0.041
vapB22,0.0299,0.0557,0.0074,0.0286
esxI,0.1045,0.1006,0.0209,0.0994
tatB,0.0896,0.1156,0.0074,0.0846
rimI,0.01,0.0357,0.0135,0.0102
TB7.3,0.0896,0.1156,0.0074,0.0846
rpsS,0.0299,0.1156,0.0,0.0282
relG,0.0299,0.1156,0.0,0.0282
mtrA,0.0299,0.0357,0.0135,0.0289
clpP2,0.0896,0.1156,0.0074,0.0846
vapB6,0.0299,0.1156,0.0,0.0282
vapB42,0.0896,0.1156,0.0074,0.0846
secE1,0.0,0.0557,0.0074,0.0005
lexA,0.0199,0.0157,0.0356,0.0208
vapC38,0.0384,0.0214,0.0429,0.0387
atpE,0.0299,0.1156,0.0,0.0282
rpsF,0.01,0.0357,0.0135,0.0102
mmr,0.0299,0.0197,0.0282,0.0298
espF,0.0299,0.0357,0.0135,0.0289
rplN,0.0299,0.1156,0.0,0.0282
hisG,0.0537,0.0437,0.0282,0.0521
end,0.0213,0.0128,0.0429,0.0226
rpsR2,0.0299,0.0557,0.0074,0.0286
parE1,0.0299,0.1156,0.0,0.0282
tatA,0.0149,0.0257,0.0209,0.0153
PE33,0.0299,0.0357,0.0135,0.0289
nuoA,0.0497,0.0757,0.0135,0.0475
